cell	nCount_SCT	nFeature_SCT	seurat_clusters
X159_172	25127	6456	10
X157_175	24355	5953	11
X159_171	23697	4372	10
X144_188	24867	5444	5
X133_191	25058	5433	7
X133_190	24327	5090	7
X124_174	23681	4958	4
X162_171	23199	3884	1
X158_180	25272	5669	10
X132_175	23708	4647	13
X136_179	23684	4691	7
X150_188	25120	6184	5
X133_168	25058	5532	3
X147_178	25280	5792	8
X154_175	24632	6116	11
X116_182	24014	4018	9
X153_192	25181	6436	0
X144_178	25234	5786	5
X164_172	23277	3989	1
X150_164	24087	5878	0
X145_192	25181	5768	0
X136_184	24702	5357	7
X145_180	25182	6195	8
X131_177	23811	4505	2
X133_174	24098	4327	13
X144_174	24481	5604	5
X142_191	25150	5588	6
X143_175	25146	5586	5
X120_177	25265	5646	4
X126_183	23665	5289	2
X143_190	25311	6073	0
X151_176	25010	6464	8
X121_181	23738	4885	4
X149_180	25157	6616	8
X139_162	25242	5916	9
X150_175	25095	6673	8
X118_190	23768	4498	9
X120_175	23747	5065	3
X114_188	23748	3749	3
X134_196	23763	4600	0
X159_175	24895	6101	11
X130_187	23941	5185	12
X160_181	23721	4322	0
X132_180	25190	5667	2
X154_191	25084	6502	0
X124_176	23660	4495	0
X120_191	23735	4218	9
X140_192	23773	4671	6
X128_186	23740	5141	2
X120_184	25118	5981	9
X125_188	23880	4199	4
X145_162	24127	5336	3
X147_165	25165	6265	5
X152_190	25255	5782	5
X157_178	24451	6141	11
X148_170	25022	6322	1
X136_178	23712	4722	7
X122_191	23757	4658	5
X125_165	23344	3711	1
X136_194	24220	5234	6
X135_191	24713	4570	12
X125_182	23925	5683	2
X123_190	24008	4110	4
X130_166	23701	5061	4
X130_194	24972	5580	6
